Pixel,R,G,B
303,82,153,30
304,76,142,29
305,74,134,39
306,109,163,55
307,95,159,39
308,72,136,37
309,94,144,58
310,93,153,50
311,75,134,35
312,74,136,36
313,84,152,38
314,76,135,35
315,76,139,28
316,75,134,34
317,75,147,25
318,65,129,24
319,68,135,24
320,87,155,38
321,94,156,36
322,93,163,39
323,78,144,32
324,66,124,32
325,82,148,36
326,92,153,42
327,94,157,38
328,77,142,33
329,74,144,32
330,82,145,38
331,77,139,35
332,89,150,41
333,73,134,40
334,75,141,34
335,77,137,38
336,80,142,38
337,80,144,36
338,86,160,37
339,78,141,39
340,80,144,38
341,97,161,47
342,80,143,38
343,93,159,41
344,103,164,42
345,129,181,70
346,149,191,100
347,158,195,111
348,107,159,57
349,83,138,43
350,87,152,38
351,75,135,34
352,85,144,44
353,86,149,37
